dataset_index,CID,IUPAC,SMILES,MolecularFormula,MolecularWeight,InChI,InChIKey,Title,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,PatentCount,PatentFamilyCount,LiteratureCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D,Fingerprint2D
32,39,"4,4-dimethyloxolane-2,3-dione",CC1(C)COC(=O)C1=O,C6H8O3,128.13,"InChI=1S/C6H8O3/c1-6(2)3-9-5(8)4(6)7/h3H2,1-2H3",HRTOQFBQOFIFEE-UHFFFAOYSA-N,"Dihydro-4,4-dimethyl-2,3-Furandione",0.6,128.047344113,128.047344113,43.4,169.0,0.0,0.0,3.0,0.0,9.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,272,101,78,99.1,2.48,1.44,0.98,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.4,0.6,2,AAADccBgMAAAAAAAAAAAAAAAAAAAASAAAAAAAAAAAAAAAAAAAAAAGgAAAAAADgSggAICCAAABAAIAICQCAIAAAAAAAAAAAFAAAAAABQAAAQCAAAEIAAAAAACAAAJAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
36,43,2-hydroxypentanedioic acid,O=C(O)CCC(O)C(=O)O,C5H8O5,148.11,"InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)",HWXBTNAVRSUOJR-UHFFFAOYSA-N,2-Hydroxyglutaric acid,-1.0,148.03717335,148.03717335,94.8,141.0,0.0,3.0,5.0,4.0,10.0,0.0,1,0.0,1.0,0,0.0,0.0,1.0,2721,944,1007,107.2,4.52,1.24,1.05,8.0,5.0,1.0,2.0,0.0,0.0,0.0,0.6,4.0,10,AAADccBgOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACBSggAIACAAAAgAIAACQCAIAAAAAAAAAAAFAAAABEBIAAAAAQAAEAAABAADKJgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
37,44,2-hydroxypropanedioate,O=C([O-])C(O)C(=O)[O-],C3H2O5-2,118.04,"InChI=1S/C3H4O5/c4-1(2(5)6)3(7)8/h1,4H,(H,5,6)(H,7,8)/p-2",ROBFUDYVXSDBQM-UHFFFAOYSA-L,Tartronate,0.2,117.99022316,117.99022316,101.0,91.8,-2.0,1.0,5.0,0.0,8.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,778,303,41,80.8,2.35,1.28,0.85,9.0,5.0,1.0,3.0,0.0,0.0,0.0,0.4,2.0,4,AAADcQBAOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACBSggAIACAAAAgAIAACQCAIAAAAAAAAAAAFAAAABEAQIAAAAAAABIAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
38,45,2-hydroxypropanedioic acid,O=C(O)C(O)C(=O)O,C3H4O5,120.06,"InChI=1S/C3H4O5/c4-1(2(5)6)3(7)8/h1,4H,(H,5,6)(H,7,8)",ROBFUDYVXSDBQM-UHFFFAOYSA-N,Tartronic acid,-1.1,120.00587322,120.00587322,94.8,103.0,0.0,3.0,5.0,2.0,8.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,17336,5879,318,81.5,2.44,1.46,0.71,9.0,5.0,1.0,3.0,0.0,0.0,0.0,0.4,2.0,9,AAADcYBAOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACBSggAIACAAAAgAIAACQCAIAAAAAAAAAAAFAAAABEAQIAAAAQAABIAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
40,47,3-methyl-2-oxopentanoic acid,CCC(C)C(=O)C(=O)O,C6H10O3,130.14,"InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)",JVQYSWDUAOAHFM-UHFFFAOYSA-N,3-Methyl-2-oxovaleric acid,1.1,130.062994177,130.062994177,54.4,128.0,0.0,1.0,3.0,3.0,9.0,0.0,1,0.0,1.0,0,0.0,0.0,1.0,2777,738,316,103.4,3.16,1.57,0.99,6.0,3.0,0.0,1.0,0.0,0.0,2.0,0.6,3.0,10,AAADccBgMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAADQSAgAACCAAAAgAIAICQCAIAAAAAAAAAAAFAAAAAABIAAAAAQAAEAAAAAACIAAAKAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
41,49,3-methyl-2-oxobutanoic acid,CC(C)C(=O)C(=O)O,C5H8O3,116.11,"InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)",QHKABHOOEWYVLI-UHFFFAOYSA-N,3-Methyl-2-oxobutanoic acid,0.7,116.047344113,116.047344113,54.4,115.0,0.0,1.0,3.0,2.0,8.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,5344,1639,814,91.1,2.95,1.34,0.86,5.0,3.0,0.0,1.0,0.0,0.0,1.0,0.4,2.0,5,AAADccBgMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAADQSAgAACCAAAAgAIAICQCAIAAAAAAAAAAAFAAAAAABAAAAAAQAAEAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
43,51,2-oxopentanedioic acid,O=C(O)CCC(=O)C(=O)O,C5H6O5,146.1,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)",KPGXRSRHYNQIFN-UHFFFAOYSA-N,2-Oxoglutaric acid,-0.9,146.02152329,146.02152329,91.7,171.0,0.0,2.0,5.0,4.0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,37748,13304,10804,105.7,5.91,1.32,0.57,7.0,5.0,0.0,2.0,0.0,0.0,0.0,0.6,4.0,10,AAADcYBgOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACASAgAAACAAAAgAIAICQCAIAAAAAAAAAAAFAAAAAABIAAAAAQAAEAAAAAACLJgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
47,58,2-oxobutanoic acid,CCC(=O)C(=O)O,C4H6O3,102.09,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)",TYEYBOSBBBHJIV-UHFFFAOYSA-N,2-Oxobutanoic acid,0.1,102.031694049,102.031694049,54.4,95.1,0.0,1.0,3.0,2.0,7.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,8526,3230,1128,78.5,3.01,1.25,0.57,5.0,3.0,0.0,1.0,0.0,0.0,1.0,0.4,2.0,4,AAADcYBgMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACASAgAACCAAAAgAIAICQCAIAAAAAAAAAAAFAAAAAABAAAAAAQAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
50,62,"2,4,5-trichlorocyclohexa-2,5-dien-1-ol",OC1C=C(Cl)C(Cl)C=C1Cl,C6H5Cl3O,199.5,"InChI=1S/C6H5Cl3O/c7-3-1-5(9)6(10)2-4(3)8/h1-3,6,10H",KRQUJBMPSDPYMT-UHFFFAOYSA-N,"2,4,5-Trichlorocyclohexa-2,5-dien-1-ol",1.9,197.940598,197.940598,20.2,197.0,0.0,1.0,1.0,0.0,10.0,0.0,2,0.0,2.0,0,0.0,0.0,1.0,0,0,15,129.7,3.76,1.95,0.92,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,4,AAADcYBgIAAGAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAAGgIACAAACBeggEIAAAAAAgCAACBCAAAAAAAgAAAACEAAAwgAFAAAAQAAEAAAAAAIEAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
51,63,"2,4-diaminopentanoic acid",CC(N)CC(N)C(=O)O,C5H12N2O2,132.16,"InChI=1S/C5H12N2O2/c1-3(6)2-4(7)5(8)9/h3-4H,2,6-7H2,1H3,(H,8,9)",PCEJMSIIDXUDSN-UHFFFAOYSA-N,"2,4-Diaminopentanoic acid",-3.5,132.08987763,132.08987763,89.3,105.0,0.0,3.0,4.0,3.0,9.0,0.0,2,0.0,2.0,0,0.0,0.0,1.0,104,29,5,103.5,4.39,1.18,0.92,7.0,2.0,2.0,1.0,2.0,0.0,0.0,0.6,3.0,10,AAADccBjMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQCAAACCjBgAQCCABAAgAIAACQCAAAAAAAAAAAAIGAAAACABIAwAAAQAAEEAAAAACsAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
