dataset_index,CID,IUPAC,SMILES,MolecularFormula,MolecularWeight,InChI,InChIKey,Title,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,PatentCount,PatentFamilyCount,LiteratureCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D,Fingerprint2D
52,64,"2,5-dichlorocyclohexa-2,5-diene-1,4-diol",OC1C=C(Cl)C(O)C=C1Cl,C6H6Cl2O2,181.01,"InChI=1S/C6H6Cl2O2/c7-3-1-5(9)4(8)2-6(3)10/h1-2,5-6,9-10H",CPXFTNFOQXXRBF-UHFFFAOYSA-N,"2,5-Dichloro-2,5-cyclohexadiene-1,4-diol",0.6,179.9744848,179.9744848,40.5,176.0,0.0,2.0,2.0,0.0,10.0,0.0,2,0.0,2.0,0,0.0,0.0,1.0,22,10,25,121.1,3.76,1.81,0.79,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,3,AAADcYBgMAAGAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAAGgIACAAACBaggAIAAAAAAgCAACBCAAAAAAAgAAAACAAAAwgAFAAAAQAAEAAAAAAIEAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
53,65,"2,5-dichlorobenzene-1,4-diol",Oc1cc(Cl)c(O)cc1Cl,C6H4Cl2O2,179.0,"InChI=1S/C6H4Cl2O2/c7-3-1-5(9)4(8)2-6(3)10/h1-2,9-10H",AYNPIRVEWMUJDE-UHFFFAOYSA-N,"2,5-Dichlorohydroquinone",2.7,177.9588348,177.9588348,40.5,106.0,0.0,2.0,2.0,0.0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,3534,1792,96,117.4,3.82,1.95,0.61,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.4,0.0,1,AAADcYBgMAAGAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgIACAAACAaAkCAwBoAAAgCAACBCAAACAAAgJUAAiAAGC4gIJiKDEhKAcAAkwBEImAfAQAAAAQAQAQAACAACACACAAAQAAAAAAAAAA==
54,66,"2,5-dichlorophenol",Oc1cc(Cl)ccc1Cl,C6H4Cl2O,163.0,"InChI=1S/C6H4Cl2O/c7-4-1-2-5(8)6(9)3-4/h1-3,9H",RANCECPPZPIPNO-UHFFFAOYSA-N,"2,5-Dichlorophenol",3.1,161.9639201,161.9639201,20.2,97.1,0.0,1.0,1.0,0.0,9.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,2843,1021,461,110.6,3.82,1.67,0.62,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4,0.0,1,AAADcYBgIAAGAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgIACAAACAaAkCAwBoAAAgCAACBCAAACAAAgJUAIiAAGC4gIJiKDExKAcAAkwBEImAeAQAAAAAAQAQAACAAAACACAAAQAAAAAAAAAA==
58,70,4-methyl-2-oxopentanoic acid,CC(C)CC(=O)C(=O)O,C6H10O3,130.14,"InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)",BKAJNAXTPSGJCU-UHFFFAOYSA-N,4-Methyl-2-oxopentanoic acid,0.9,130.062994177,130.062994177,54.4,126.0,0.0,1.0,3.0,3.0,9.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,4843,1333,1352,103.8,4.29,1.22,0.88,5.0,3.0,0.0,1.0,0.0,0.0,1.0,0.6,3.0,2,AAADccBgMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAADQSAgAACCAAAAgAIAICQCAIAAAAAAAAAAAFAAAAAABIAAAAAQAAEAAAAAACIAAAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
62,75,3-aminopropanal,NCCC=O,C3H7NO,73.09,"InChI=1S/C3H7NO/c4-2-1-3-5/h3H,1-2,4H2",PCXDJQZLDDHMGX-UHFFFAOYSA-N,3-Aminopropanal,-1.3,73.052763847,73.052763847,43.1,28.1,0.0,1.0,2.0,2.0,5.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,2192,883,239,61.4,2.72,0.88,0.58,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4,2.0,9,AAADcYBCIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQAAAACADhgAYAAABAAAAIAAgQgAAAAAAAAAAAAIEAAAAAAAgAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
65,78,2-amino-3-chloropropanoic acid,NC(CCl)C(=O)O,C3H6ClNO2,123.54,"InChI=1S/C3H6ClNO2/c4-1-2(5)3(6)7/h2H,1,5H2,(H,6,7)",ASBJGPTTYPEMLP-UHFFFAOYSA-N,3-Chloroalanine,-2.8,123.0087061,123.0087061,63.3,75.3,0.0,2.0,3.0,2.0,7.0,0.0,1,0.0,1.0,0,0.0,0.0,1.0,702,217,76,84.9,2.3,1.63,0.8,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.4,2.0,10,AAADcYBCMAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgIQCAAACCvBgEQACABAAgAIAACQCAAAAAAAAAAAAIGAAgACAAAAAAAAQAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
66,79,pyridine-3-carbonitrile,N#Cc1cccnc1,C6H4N2,104.11,"InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-3,5H",GZPHSAQLYPIAIN-UHFFFAOYSA-N,3-Cyanopyridine,0.2,104.037448136,104.037448136,36.7,111.0,0.0,0.0,2.0,0.0,8.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,12842,4410,705,85.3,3.34,1.31,0.6,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,1,AAADcYBjAAAAAAAAAAAAAAAAAAAAAAAAAAAsAAAAAAAAAAABgAAAHAAAAAAADADBGgQ8gJIIEACwBjBnRACigCAxAiAI2CA4ZJgIoOLAkZGEIAhggADIyA4QAAAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
72,87,3-hydroxy-2-methylpropanoic acid,CC(CO)C(=O)O,C4H8O3,104.1,"InChI=1S/C4H8O3/c1-3(2-5)4(6)7/h3,5H,2H2,1H3,(H,6,7)",DBXBTMSZEOQQDU-UHFFFAOYSA-N,3-Hydroxyisobutyric acid,-0.4,104.047344113,104.047344113,57.5,69.3,0.0,2.0,3.0,2.0,7.0,0.0,1,0.0,1.0,0,0.0,0.0,1.0,4623,2371,190,80.6,2.03,1.59,0.85,6.0,3.0,1.0,1.0,0.0,0.0,1.0,0.4,2.0,10,AAADccBgMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAADQCggAICCAAAAgAIAACQCAAAAAAAAAAAAAEAAAAAEAQAAAAAQAABIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
78,96,3-oxobutanoic acid,CC(=O)CC(=O)O,C4H6O3,102.09,"InChI=1S/C4H6O3/c1-3(5)2-4(6)7/h2H2,1H3,(H,6,7)",WDJHALXBUFZDSR-UHFFFAOYSA-N,Acetoacetic acid,-0.4,102.031694049,102.031694049,54.4,95.1,0.0,1.0,3.0,2.0,7.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,38982,18345,3611,79.1,3.18,1.16,0.62,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.4,2.0,10,AAADcYBgMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACASAgAACCAAAAgAIAICQCAAAAAAAAAAAAAEAAAAAABQIAAAAQAAEIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
80,98,2-oxo-3-sulfanylpropanoic acid,O=C(O)C(=O)CS,C3H4O3S,120.13,"InChI=1S/C3H4O3S/c4-2(1-7)3(5)6/h7H,1H2,(H,5,6)",OJOLFAIGOXZBCI-UHFFFAOYSA-N,3-Mercaptopyruvic acid,0.0,119.98811516,119.98811516,55.4,98.4,0.0,2.0,4.0,2.0,7.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,493,196,137,83.8,3.38,1.25,0.59,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.4,2.0,5,AAADcYBAMABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgQACAAACASEwACACAAAAgQIAICQCAIAAAAAAAAAAAFAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
82,101,3-hydroxybenzaldehyde,O=Cc1cccc(O)c1,C7H6O2,122.12,"InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H",IAVREABSGIHHMO-UHFFFAOYSA-N,3-Hydroxybenzaldehyde,1.4,122.03677943,122.03677943,37.3,101.0,0.0,1.0,2.0,1.0,9.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,14956,4998,434,98.2,3.46,1.59,0.6,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,1.0,2,AAADcYBgMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASgmAIwBoAAAgCIAihSgAACAAAkIAAIiAEGCMgIJjKCFRKAcQAkwBEImYeKyBCOAAABAAAAAAAAAAIAAAAAAAAAAAAAAA==
83,102,3-(hydroxymethyl)phenol,OCc1cccc(O)c1,C7H8O2,124.14,"InChI=1S/C7H8O2/c8-5-6-2-1-3-7(9)4-6/h1-4,8-9H,5H2",OKVJCVWFVRATSG-UHFFFAOYSA-N,3-Hydroxybenzyl alcohol,0.5,124.052429494,124.052429494,40.5,83.0,0.0,2.0,2.0,1.0,9.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,3750,1102,120,100.0,3.27,1.64,0.69,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.4,1.0,4,AAADccBgMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASgmAIwBoAAAgCAAiBCAAACAAAgIAAIiAAGCIgINiKCERKAcAAkwBEImAfAwDAOAAABAAAAAAAAAAIAAAAAAAAAAAAAAA==
84,104,2-(2-oxo-3H-furan-5-yl)acetic acid,O=C(O)CC1=CCC(=O)O1,C6H6O4,142.11,"InChI=1S/C6H6O4/c7-5(8)3-4-1-2-6(9)10-4/h1H,2-3H2,(H,7,8)",ZPEHSARSWGDCEX-UHFFFAOYSA-N,"5-Oxo-4,5-dihydro-2-furylacetic acid",-0.3,142.02660867,142.02660867,63.6,204.0,0.0,1.0,4.0,2.0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,35,15,10,105.6,4.47,1.13,0.89,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.6,2.4,8,AAADcYBgOAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAGgAACAAACASAgAAACAAABgCIACDSCAAACAAgIAAACAEAAAgAAAQAAQACQAABYAAIAAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
88,108,2-pyridin-3-ylacetic acid,O=C(O)Cc1cccnc1,C7H7NO2,137.14,"InChI=1S/C7H7NO2/c9-7(10)4-6-2-1-3-8-5-6/h1-3,5H,4H2,(H,9,10)",WGNUNYPERJMVRM-UHFFFAOYSA-N,3-Pyridineacetic acid,-0.1,137.047678466,137.047678466,50.2,125.0,0.0,1.0,3.0,2.0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,3683,1051,62,107.3,4.45,1.17,0.9,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.4,2.0,10,AAADcYBiMAAAAAAAAAAAAAAAAAAAAAAAAAAsAAAAAAAAAAABgAAAHgAACAAADADBmgQ8iJIIEgCoAjD3TACCgCAxAiAI2CE4ZJgIIPLAlZGEYAhkwAHIyAe8SAAOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
89,109,2-amino-3-sulfinopropanoic acid,NC(CS(=O)O)C(=O)O,C3H7NO4S,153.16,"InChI=1S/C3H7NO4S/c4-2(3(5)6)1-9(7)8/h2H,1,4H2,(H,5,6)(H,7,8)",ADVPTQAUNPRNPO-UHFFFAOYSA-N,3-Sulfinoalanine,-4.2,153.00957888,153.00957888,120.0,136.0,0.0,3.0,6.0,3.0,9.0,0.0,1,0.0,1.0,0,0.0,0.0,1.0,380,145,391,103.0,3.42,1.46,0.96,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.6,3.0,10,AAADcYBCOABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgQQCAAACCjFwASACABAAoIIAACQCGBAAAAAAAAAAIGAAAACAAAAAAAAQAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
90,110,2-oxo-3-sulfinopropanoic acid,O=C(O)C(=O)CS(=O)O,C3H4O5S,152.13,"InChI=1S/C3H4O5S/c4-2(3(5)6)1-9(7)8/h1H2,(H,5,6)(H,7,8)",JXYLQEMXCAAMOL-UHFFFAOYSA-N,3-Sulfinylpyruvic acid,-1.0,151.9779444,151.9779444,111.0,162.0,0.0,2.0,6.0,3.0,9.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,66,24,11,100.0,4.4,1.36,0.66,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.6,3.0,9,AAADcYBAOABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgQACAAACASEwACACAAAAoIIAICQCGJAAAAAAAAAAAFAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
96,118,4-aminobutanal,NCCCC=O,C4H9NO,87.12,"InChI=1S/C4H9NO/c5-3-1-2-4-6/h4H,1-3,5H2",DZQLQEYLEYWJIB-UHFFFAOYSA-N,4-Aminobutanal,-0.9,87.068413911,87.068413911,43.1,36.5,0.0,1.0,2.0,3.0,6.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1682,686,328,74.5,3.93,0.93,0.59,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4,3.0,10,AAADccBiIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQAAAACADhgAYAAABAAAAIAAgQgAAAAAAAAAAAAIEAAAAAABAAgAAAAAAAEAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
97,119,4-aminobutanoic acid,NCCCC(=O)O,C4H9NO2,103.12,"InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)",BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-Aminobutyric Acid,-3.2,103.06332853,103.06332853,63.3,62.7,0.0,2.0,3.0,3.0,7.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,47193,18828,86110,82.1,4.47,0.98,0.58,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.4,3.0,10,AAADccBiMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQCAAACADBgAQACABAAgAIAACQCAAAAAAAAAAAAIEAAAAAABAAgAAAQAAEEAAAAAAkAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
98,120,2-(5-oxofuran-2-ylidene)acetic acid,O=C(O)C=C1C=CC(=O)O1,C6H4O4,140.09,"InChI=1S/C6H4O4/c7-5(8)3-4-1-2-6(9)10-4/h1-3H,(H,7,8)",AYFXPGXAZMFWNH-UHFFFAOYSA-N,4-Carboxymethylenebut-2-en-4-olide,0.0,140.0109586,140.0109586,63.6,236.0,0.0,1.0,4.0,1.0,10.0,0.0,0,0.0,0.0,1,0.0,1.0,1.0,10,7,41,103.2,4.82,1.21,0.62,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.4,1.2,1,AAADcYBgOAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAGgAACAAACASAgAAACAAABgCIACDSCAAACAAAIAAICAAAAEAIBAAAIQACEAAAAAAAsYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
100,124,4-hydroxy-2-oxopentanoic acid,CC(O)CC(=O)C(=O)O,C5H8O4,132.11,"InChI=1S/C5H8O4/c1-3(6)2-4(7)5(8)9/h3,6H,2H2,1H3,(H,8,9)",HFKQINMYQUXOCH-UHFFFAOYSA-N,4-Hydroxy-2-oxopentanoic acid,-0.6,132.04225873,132.04225873,74.6,129.0,0.0,2.0,4.0,3.0,9.0,0.0,1,0.0,1.0,0,0.0,0.0,1.0,196,69,37,98.9,4.42,1.3,0.65,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.6,3.0,10,AAADccBgOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACBSggAICCAAAAgAIAICQCAIAAAAAAAAAAAFAAAAAEBYAAAAAQAAEIAAAAADKAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
101,125,4-(hydroxymethyl)phenol,OCc1ccc(O)cc1,C7H8O2,124.14,"InChI=1S/C7H8O2/c8-5-6-1-3-7(9)4-2-6/h1-4,8-9H,5H2",BVJSUAQZOZWCKN-UHFFFAOYSA-N,4-Hydroxybenzyl alcohol,0.2,124.052429494,124.052429494,40.5,75.0,0.0,2.0,2.0,1.0,9.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,11256,4350,778,100.4,3.76,1.29,0.7,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.4,1.0,2,AAADccBgMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASgmAIwBoAAAgCAAiBCAAACAAAgIAAIiAAGCIgINiKCERKAcAAkwBEImAeA4CQOIAAAAAAAAABAAAAAAAAAAAAAAAAAAA==
102,126,4-hydroxybenzaldehyde,O=Cc1ccc(O)cc1,C7H6O2,122.12,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H",RGHHSNMVTDWUBI-UHFFFAOYSA-N,4-Hydroxybenzaldehyde,1.4,122.03677943,122.03677943,37.3,93.1,0.0,1.0,2.0,1.0,9.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,35342,12639,3860,98.5,3.82,1.34,0.6,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,1.0,1,AAADcYBgMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASgmAIwBoAAAgCIAihSgAACAAAkIAAIiAEGCMgIJjKCFRKAcQAkwBEImYeIzADOIAAAAAAAAABAAAAAAAAAAAAAAAAAAA==
104,129,4-methylpentanal,CC(C)CCC=O,C6H12O,100.16,"InChI=1S/C6H12O/c1-6(2)4-3-5-7/h5-6H,3-4H2,1-2H3",JGEGJYXHCFUMJF-UHFFFAOYSA-N,4-Methylpentanal,1.3,100.088815002,100.088815002,17.1,48.1,0.0,0.0,1.0,3.0,7.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,5988,2028,116,90.9,4.13,1.19,0.7,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,3.0,8,AAADccBgIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAAAAAADQCggAICAAAAAAAIAAgQgAAAAAAAAAAAAAEAAAAAABIAAAAAAAAAAAAAAAAIAAAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
106,133,trimethyl(4-oxobutyl)azanium,C[N+](C)(C)CCCC=O,C7H16NO+,130.21,"InChI=1S/C7H16NO/c1-8(2,3)6-4-5-7-9/h7H,4-6H2,1-3H3/q+1",OITBLCDWXSXNCN-UHFFFAOYSA-N,4-Trimethylammoniobutanal,0.1,130.123189134,130.123189134,17.1,83.4,1.0,0.0,1.0,4.0,9.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,164,47,15,114.7,5.37,1.17,0.96,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6,4.0,3,AAADceBiIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAAAAAACADhgAYCAAMAAAAIAAgQgAAAAAAAAAAAAAEIAAAAABAAgAAEAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
107,134,3-carboxypropyl(trimethyl)azanium,C[N+](C)(C)CCCC(=O)O,C7H16NO2+,146.21,"InChI=1S/C7H15NO2/c1-8(2,3)6-4-5-7(9)10/h4-6H2,1-3H3/p+1",JHPNVNIEXXLNTR-UHFFFAOYSA-O,4-Trimethylammoniobutanoate,0.1,146.118103753,146.118103753,37.3,115.0,1.0,1.0,2.0,4.0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,895,354,213,122.8,6.42,1.16,0.92,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.6,4.0,4,AAADceBiMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAACAAACADBgAQCCAMAAgAIAACQCAAAAAAAAAAAAAEIAAAAABAAgAAEQAAEAAAAAAAkAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
108,135,4-hydroxybenzoic acid,O=C(O)c1ccc(O)cc1,C7H6O3,138.12,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",FJKROLUGYXJWQN-UHFFFAOYSA-N,4-Hydroxybenzoic acid,1.6,138.031694049,138.031694049,57.5,125.0,0.0,2.0,3.0,1.0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,206797,69482,8249,106.2,4.18,1.43,0.59,5.0,2.0,1.0,1.0,0.0,1.0,0.0,0.4,1.0,2,AAADcYBgMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASAmAAwDoAAAgCIAiDSCAACAAAkIAAIiAEGCMgIJjKCFRKAcQAkwBEImYeI7CTOIAAAAAAAAABAAAAAAAAAAAAAAAAAAA==
109,137,5-amino-4-oxopentanoic acid,NCC(=O)CCC(=O)O,C5H9NO3,131.13,"InChI=1S/C5H9NO3/c6-3-4(7)1-2-5(8)9/h1-3,6H2,(H,8,9)",ZGXJTSGNIOSYLO-UHFFFAOYSA-N,Aminolevulinic Acid,-3.8,131.058243149,131.058243149,80.4,121.0,0.0,2.0,4.0,4.0,9.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,45466,11158,13312,101.0,5.97,1.12,0.57,6.0,3.0,1.0,1.0,1.0,0.0,0.0,0.6,4.0,10,AAADccBiMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQCAAACATBgAQACABAAgAIAICQCAAAAAAAAAAAAIGAAAAAABIAgAAAQAAEAAAAAACbEQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
110,138,5-aminopentanoic acid,NCCCCC(=O)O,C5H11NO2,117.15,"InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)",JJMDCOVWQOJGCB-UHFFFAOYSA-N,5-Aminovaleric acid,-2.6,117.078978594,117.078978594,63.3,72.8,0.0,2.0,3.0,4.0,8.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,3935,1624,572,95.2,6.26,0.95,0.58,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.6,4.0,10,AAADccBiMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQCAAACADBgAQACABAAgAIAACQCAAAAAAAAAAAAIEAAAAAABIAgAAAQAAEEAAAAACYEQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
